id	title	journal	pub_time	pmid	circRNA id	circRNA name	circRNA synonyms	disease	method of circRNA detection	species	expression pattern	associator	host gene	tissue/cell line	functional describution
100	Comprehensive circular RNA profiling reveals the regulatory role of the circRNA-100338/miR-141-3p pathway in hepatitis B-related hepatocellular carcinoma	Sci Rep.	2017 Jul 14	28710406	-	hsa_circRNA_104075		hepatocellular carcinoma	qRT-PCR, microarray	human	up-regulated	-	NUP153	tissue	Despite the great genomic variations among the different patients, we were still able to identify two circRNAs (hsa_circRNA_104075 and hsa_circRNA_100338) that were significantly up-regulated in HCC samples compared with paired pericancerous tissue samples. These results further validated our findings and implied that these circRNAs may play important roles in HCC carcinogenesis.
101	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0058106	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	up-regulated	miR-185-3p, miR-4638-3p	FN1	tissue	The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues. These data were consistent with the results of the microarray data, indicating the reliability of these results.
102	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0058107	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	up-regulated	miR-185-3p, miR-3137, miR-365b-5p, miR-4638-3p, miR-4673, miR-4722-5p, miR-4726-3p, miR-6751-5p, miR-6752-5p,  miR-6803-5p, miR-6815-5p	FN1	tissue	The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues. These data were consistent with the results of the microarray data, indicating the reliability of these results.
103	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0024108	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	up-regulated	miR-185-3p, miR-296-3p, miR-4420, miR-4646-3p, miR-4743-3p, miR-4755-5p, miR-623, miR-670-5p, miR-6804-5p, miR-7108-5p	MMP1	tissue	The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues. These data were consistent with the results of the microarray data, indicating the reliability of these results.
104	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0036722	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	down-regulated	miR-1250-5p, miR-1254, miR-1301-3p, miR-145-5p, miR-185-3p, miR-3127-5p, miR-3186-3p, miR-323b-5p, miR-3675-5p, miR-4435, miR-4474-3p, miR-4715-3p, miR-4726-5p, miR-5088-3p, miR-6089, miR-671-5p, miR-6757-5p, miR-6762-5p, miR-6767-5p, miR-6799-3p, miR-6836-5p, miR-6880-5p, miR-6895-5p, miR-8077	RHCG	tissue	Hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls. These data were consistent with the results of the microarray data, indicating the reliability of these results.
105	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0002260	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	down-regulated	miR-1229-5p, miR-1301-3p	PAPD4	tissue	Hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls. These data were consistent with the results of the microarray data, indicating the reliability of these results.
106	Novel circular RNA expression profiles reflect progression of patients with hypopharyngeal squamous cell carcinoma	Oncotarget	2017 Jul 11	28514762	hsa_circ_0001189	-		hypopharyngeal squamous cell carcinoma	qRT-PCR, microarray	human	down-regulated	miR-3127-3p, miR-5088-3p, miR-6756-3p	MORC3	tissue	Hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls. These data were consistent with the results of the microarray data, indicating the reliability of these results.
107	Silencing Of Circular RNA-ZNF609 Ameliorates Vascular Endothelial Dysfunction	Theranostics.	2017 Jul 8	28824721	-	circZNF609		vascular endothelial dysfunction	qRT-PCR, FISH	human	up-regulated	miR-615-5p, MEF2A	ZNF609	cell line	cZNF609 was significantly up-regulated upon high glucose and hypoxia stress in vivo and in vitro. cZNF609 silencing decreased retinal vessel loss and suppressed pathological angiogenesis in vivo. cZNF609 silencing increased endothelial cell migration and tube formation, and protected endothelial cell against oxidative stress and hypoxia stress in vitro
108	Hsa_circ_0005986 inhibits carcinogenesis by acting as a miR-129-5p sponge and is  used as a novel biomarker for hepatocellular carcinoma	Oncotarget.	2017 Jul 4	28410211	hsa_circ_0005986	-		hepatocellular carcinoma	qRT-PCR	human	down-regulated	miR-129-5p, NOTCH1	PRDM2	tissue and cell line	Hsa_circ_0005986 downregulation liberated miR-129-5p and decreased the expression level of Notch1mRNA. hsa_circ_0005986 downregulation accelerated cell proliferation by promoting the G0/G1 to S phase transition.
109	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	hsa_circ_0004771	hsa_circ_103110		breast cancer	qRT-PCR, microarray	human	up-regulated	miR-653-5p, miR-339-5p, miR-330-5p, miR-595, miR-629-3p	NRIP1	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
110	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	hsa_circ_0001824	hsa_circ_104689		breast cancer	qRT-PCR, microarray	human	up-regulated	miR-627-3p, miR-143-5p, miR-656-3p, miR-376a-5p, miR-222-5p	ASAP1	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
111	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	hsa_circ_0001875	hsa_circ_104821		breast cancer	qRT-PCR, microarray	human	up-regulated	miR-409-3p, miR-153-3p, miR-145-5p, miR-9-5p, miR-152-3p	FAM120A	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
112	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	hsa_circ_0006054	hsa_circ_006054		breast cancer	qRT-PCR, microarray	human	down-regulated	miR-5001-3p, miR-718, miR-4793-3p, miR-4524a-5p, miR-513a-5p	-	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
113	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	hsa_circ_0004619	hsa_circ_100219		breast cancer	qRT-PCR, microarray	human	down-regulated	miR-135b-3p, miR-298, miR-485-3p, miR-182-5p, miR-593-5p	-	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
114	Identification of circular RNAs as a promising new class of diagnostic biomarkers for human breast cancer	Oncotarget	2017 Jul 4	28484086	-	hsa_circ_406697		breast cancer	qRT-PCR, microarray	human	down-regulated	miR-6873-3p, miR-6833-3p, miR-6845-3p, miR-6742-5p, miR-100-3p	-	tissue	The validation study demonstrated that hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements.
115	Circular RNA circ-ABCB10 promotes breast cancer proliferation and progression through sponging miR-1271	Am J Cancer Res	2017 Jul 1	28744405	hsa_circ_0008717	circ-ABCB10		breast cancer	qRT-PCR, microarray	human	up-regulated	miR-1271	ABCB10	tissue and cell line	Results identified a new functional circ-ABCB10 in breast cancer tumorigenesis, and reveal the important regulatory role of circ-ABCB10 through sponging miR-1271, providing a novel insight for breast cancer pathogenesis.
116	CircRNA_100269 is downregulated in gastric cancer and suppresses tumor cell growth by targeting miR-630	Aging (Albany NY)	2017 Jun 27	28657541	-	circRNA_100269		gastric cancer	qRT-PCR	human	down-regulated	miR-630	LPHN2	tissue and cell line	Overexpressing the circRNA_100269 plasmid inhibited cell proliferation. circRNA_100269 and miR-630 comprise a novel pathway that regulates proliferation of GC cells
117	Increased circular RNA UBAP2 acts as a sponge of miR-143 to promote osteosarcoma  progression	Oncotarget.	2017 Jun 27	28977896	-	circUBAP2		osteosarcoma	qPCR, microarray	human	up-regulated	miR-143, Bcl-2	UBAP2	tissue and cell line	Increased circUBAP2 could promote osteosarcoma growth and inhibit apoptosis both in vitro and in vivo. Our results suggest the roles of circUBAP2 in osteosarcoma development and implicate its potential in prognosis prediction and cancer therapy
118	Reduced expression of circRNA hsa_circ_0003159 in gastric cancer and its clinical significance	J Clin Lab Anal.	2017 Jun 15	28618205	hsa_circ_0003159	-		gastric cancer	qRT-PCR	human	down-regulated	-	CACNA2D1	tissues	Hsa_circ_0003159 expression levels were significantly negatively associated with gender, distal metastasis, and tumor-node-metastasis stage. Hsa_circ_0003159 may be a potential cancer marker of patients with gastric cancer
119	A novel identified circular RNA, circRNA_010567, promotes myocardial fibrosis via suppressing miR-141 by targeting TGF-beta1	Biochem Biophys Res Commun.	2017 Jun 10	28412345	-	circRNA_010567		diabetic myocardial fibrosis	qRT-PCR, microarray	mice	up-regulated	miR-141, TGF-beta1	-	tissue and cell line	CircRNA_010567/miR-141/TGF-beta1 axis plays an important regulatory role in the diabetic mice myocardial fibrosis model
120	hsa_circ_0013958: a circular RNA and potential novel biomarker for lung adenocarcinoma	FEBS J.	2017 Jul	28685964	hsa_circ_0013958	-		lung cancer	qRT-PCR, microarray	human	up-regulated	miR-134, cyclin D1	ACP6	tissue and cell line	Hsa_circ_0013958 promoted cell proliferation and invasion and inhibited cell apoptosis in lung adenocarcinoma (LAC)
121	Microarray expression profile of circular RNAs in chronic thromboembolic pulmonary hypertension	Medicine (Baltimore).	2017 Jul	28682884	hsa_circ_0002062	-		chronic thromboembolic pulmonary hypertension	microarray	human	down-regulated	hsa-miR-942-5p, CDK6	PTK2	tissue	Combining these findings with the results of our present study showing that hsa_circ_0002062 regulated hsa-miR-942-5p, we suggested that circRNAs function in CTEPH via hsa_circ_0002062-hsa-miR-942-5p-CDK6-pathways involved in cancer
122	Microarray expression profile of circular RNAs in chronic thromboembolic pulmonary hypertension	Medicine (Baltimore).	2017 Jul	28682884	hsa_circ_0022342	-		chronic thromboembolic pulmonary hypertension	microarray	human	down-regulated	hsa-miR-940, CRKL	SYT7	tissue	Combined with the results of our present study showing that hsa_circ_002234 regulated hsa-miR-940, we suggested that circRNAs play potential roles in CTEPH via the hsa_circ_0022342-hsa-miR-940-CRKL-ErbB signaling pathway.
123	MicroRNA-200b suppresses the invasion and migration of hepatocellular carcinoma by downregulating RhoA and circRNA_000839	Tumour Biol.	2017 Jul	28695771	-	circRNA_000839		hepatocellular carcinoma	qRT-PCR	human	up-regulated	miR-200b, RhoA	-	tissue and cell line	Our mechanistic data indicate that RhoA is a direct target of miR-200b, binding of which affects the expression of invasion and migration in hepatocellular carcinoma cell lines. And correlation analysis showed that miR-200b was inversely correlated with RhoA and circ_000839, while RhoA was positively correlated with circ_000839.
124	Circular RNA mediates cardiomyocyte death via miRNA-dependent upregulation of MTP18 expression	Cell Death Differ.	2017 Jun	28498369	mm9_circ_016597	MFACR		cardiovascular diseases	qRT-PCR	mice	down-regulated	MTP18, miR-652-3p	Smyd4	cell lines	A circRNA (mitochondrial fission and apoptosis-related circRNA, termed as MFACR) regulates mitochondrial fission and apoptosis in the heart by directly targeting and downregulating miR-652-3p;  this in turn blocks mitochondrial fission and cardiomyocyte cell death by suppressing MTP18 translation. Our results reveal a crucial role for circRNA in regulating mitochondrial dynamics and apoptosis in the heart; as such, circRNAs may serve as a potential therapeutic avenue for cardiovascular diseases.
125	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0058246	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	VIL1	tissue	In particular, we found that the expression of hsa_circ_0058246 was elevated in tumor specimens of patients with poor clinical outcomes.
126	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0091742	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	BGN	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
127	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0089548	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	NOTCH1	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
128	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0003707	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	CD44	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
129	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0085553	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	PVT1	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
130	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0006022	-		gastric cancer	qRT-PCR, microarray	human	up-regulated	-	LYN	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
131	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0031979	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	-	CDKN3	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
132	Circular RNAs play an important role in late-stage gastric cancer: Circular RNA expression profiles and bioinformatics analyses	Tumour Biol.	2017 Jun	28639908	hsa_circ_0069131	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	-	AFAP1	tissue	To verify microarray expression data, expression of a number of circRNAs (hsa_circ_0058246, hsa_circ_0091742, hsa_circ_0089548, hsa_circ_0003707, hsa_circ_0085553, hsa_circ_0006022, hsa_circ_0031979, and hsa_circ_0069131) was detected via real-time PCR in advanced gastric cancer and corresponding adjacent tissues from patients provided by Fudan University Shanghai Cancer Center (Figure 2). Both methods consistently and successfully revealed differential expression of circRNAs in tumors of advanced gastric cancer patients relative to the corresponding adjacent tissues, indicating that the biochip findings are highly accurate and reproducible.
133	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0014717	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	-	CCT3	tissue	Hsa_circ_0014717 stably exists in human gastric juice and significantly decreased in chronic atrophic gastritis group.
134	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0035445	-		gastric cancer	microarray	human	up-regulated	-	ALDH1A2	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
135	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0003789	-		gastric cancer	microarray	human	up-regulated	-	TSN	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
136	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0063809	-		gastric cancer	microarray	human	up-regulated	-	CELSR1	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
137	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0074362	-		gastric cancer	microarray	human	up-regulated	-	ARHGAP26	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
138	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0006282	-		gastric cancer	microarray	human	up-regulated	-	TCEB1	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
139	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0011107	-		gastric cancer	microarray	human	up-regulated	-	RPA2	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
140	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0084606	-		gastric cancer	microarray	human	up-regulated	-	ASPH	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
141	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0005556	-		gastric cancer	microarray	human	up-regulated	-	NBAS	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
142	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0050547	-		gastric cancer	microarray	human	up-regulated	-	UBA2	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
143	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0006470	-		gastric cancer	microarray	human	up-regulated	-	MFN2	tissue	The top 10 upregulated (hsa_circ_0035445, hsa_circ_0003789, hsa_circ_0063809, hsa_circ_0074362, hsa_circ_0006282, hsa_circ_0011107, hsa_circ_0084606, hsa_circ_0005556, hsa_circ_0050547, and hsa_circ_0006470) circRNAs in gastric cancer tissues are listed in Table 1.
144	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0007099	-		gastric cancer	microarray	human	down-regulated	-	ABHD2	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
145	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0001897	-		gastric cancer	microarray	human	down-regulated	-	POMT1	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
146	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0007707	-		gastric cancer	microarray	human	down-regulated	-	LCOR	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
147	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0008832	-		gastric cancer	microarray	human	down-regulated	-	FBXO7	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
148	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0001546	-		gastric cancer	microarray	human	down-regulated	-	FAM114A2	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
149	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0002089	-		gastric cancer	microarray	human	down-regulated	-	ARHGEF12	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
150	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0004680	-		gastric cancer	microarray	human	down-regulated	-	CCT3	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
151	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0000154	-		gastric cancer	microarray	human	down-regulated	-	DCAF6	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
152	Global circular RNA expression profile of human gastric cancer and its clinical significance	Cancer Med.	2017 Jun	28544609	hsa_circ_0004458	-		gastric cancer	microarray	human	down-regulated	-	PSD3	tissue	The top 10 downregulated (hsa_circ_0007099, hsa_circ_0001897, hsa_circ_0007707, hsa_circ_0008832, hsa_circ_0001546, hsa_circ_0002089, hsa_circ_0004680, hsa_circ_0000154, hsa_circ_0004458, and hsa_circ_0008394) circRNAs in gastric cancer tissues are listed in Table 1.
