circRNA	Position	Function	Gene	Gene Description	PMID
hsa_circRNA_102101	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102116	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102119	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102126	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102146	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	26931159;28368401;28624198
hsa_circRNA_102150	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	INTS2	integrator complex subunit 2	28368401
hsa_circRNA_102166	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TEX2	testis expressed 2	28368401
hsa_circRNA_102167	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CEP95	centrosomal protein 95	28368401
hsa_circRNA_102171	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	28368401
hsa_circRNA_102191	chr17:73142760-73144766	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]	JPT1	Jupiter microtubule associated homolog 1	27465405;28206972
hsa_circRNA_102220	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_102225	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NPLOC4	NPL4 homolog, ubiquitin recognition factor	26931159;28368401;28624198
hsa_circRNA_102226	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NPLOC4	NPL4 homolog, ubiquitin recognition factor	28368401
hsa_circRNA_102233	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102239	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	FOXK2	forkhead box K2	28368401
hsa_circRNA_102241	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159;28624198
hsa_circRNA_102264	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TBCD	tubulin folding cofactor D	28368401
hsa_circRNA_102265	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TBCD	tubulin folding cofactor D	28368401
hsa_circRNA_102285	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_102292	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PTPRM	protein tyrosine phosphatase, receptor type M	28368401
hsa_circRNA_102294	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ANKRD12	ankyrin repeat domain 12	28368401
hsa_circRNA_102306	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CEP192	centrosomal protein 192	28368401
hsa_circRNA_102333	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ZNF521	zinc finger protein 521	28368401
hsa_circRNA_102367	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102399	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]; liver cancer [differential expression (liver cancer cases vs. normal controls)]	CNN2	calponin 2	26931159;28624198;28727484
hsa_circRNA_102415	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102436	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	UBL5	ubiquitin like 5	28368401
hsa_circRNA_102439	-	hsa_circRNA_102439 (circDNMT1) enhances breast cancer progression by activating autophagy.	DNMT1	DNA methyltransferase 1 	29973691
hsa_circRNA_102442	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	KEAP1	kelch like ECH associated protein 1	28368401
hsa_circRNA_102448	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LDLR	low density lipoprotein receptor	28368401
hsa_circRNA_102451	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LDLR	low density lipoprotein receptor	28368401
hsa_circRNA_102459	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	MAST1	microtubule associated serine/threonine kinase 1	28368401
hsa_circRNA_102464	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PKN1	protein kinase N1	28368401
hsa_circRNA_102470	-	Leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)]	-	-	28677780
hsa_circRNA_102485	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	PGPEP1	pyroglutamyl-peptidase I	28368401;28624198
hsa_circRNA_102492	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102509	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102533	chr19:34942885-34957919	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; depatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)]	UBA2	ubiquitin like modifier activating enzyme 2	27606420;28710406;28677780
hsa_circRNA_102535	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	WTIP	WT1 interacting protein	28368401
hsa_circRNA_102550	chr19:41089303-41089623	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102556	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102561	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102564	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102570	chr19:45860527-45860957	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	27465405
hsa_circRNA_102571	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102582	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	DHX34	DExH-box helicase 34	28368401
hsa_circRNA_102584	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102592	chr19:50720871-50721028	Cell aging [differential expression (C1 (CD28(+)CD8(+) vs. CD28(-)CD8(+)T cells in the elderly) vs. C4 (CD28(-)CD8(+)T cells in the elderly vs. in the adult)];esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	MYH14	myosin heavy chain 14	26451160;27465405;28206972
hsa_circRNA_102614	chr2:9490936-9499018	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	27465405;28206972
hsa_circRNA_102615	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102619	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	26931159;28710406
hsa_circRNA_102631	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	NBAS	neuroblastoma amplified sequence	28368401;28520103
hsa_circRNA_102645	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102649	chr2:26587169-26596497	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102650	chr2:26587169-26598016	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102651	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102677	chr2:36623756-36623930	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102679	chr2:36623756-36691798	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102680	chr2:36623756-36706837	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CRIM1	cysteine rich transmembrane BMP regulator 1	27606420;28368401
hsa_circRNA_102682	chr2:36623756-36749456	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102685	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	CRIM1	cysteine rich transmembrane BMP regulator 1	28368401;28520103
hsa_circRNA_102686	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CRIM1	cysteine rich transmembrane BMP regulator 1	28368401
hsa_circRNA_102690	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	STRN	striatin	28368401;28624198
hsa_circRNA_102694	-	Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]	ATL2	atlastin GTPase 2	28349836
hsa_circRNA_102704	-	Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)]	EML4	echinoderm microtubule associated protein like 4	28349836
hsa_circRNA_102720	chr2:55214626-55214834	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	RTN4	reticulon 4	27465405
hsa_circRNA_102741	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	WDPCP	WD repeat containing planar cell polarity effector	28368401
hsa_circRNA_102765	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102767	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102774	chr2:85625142-85626408	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_102777	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102798	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102810	chr2:121036193-121047333	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	RALB	RAS like proto-oncogene B	27465405
hsa_circRNA_102815	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_102817	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_102825	chr2:135883750-135884226	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	27465405
hsa_circRNA_102828	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	UBXN4	UBX domain protein 4	28368401;28624198
hsa_circRNA_102880	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SLC39A10	solute carrier family 39 member 10	28368401
hsa_circRNA_102885	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102888	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_102893	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_102904	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	28368401
hsa_circRNA_102908	chr2:215632205-215646233	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	BARD1	BRCA1 associated RING domain 1	27465405
hsa_circRNA_102919	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ZNF142	zinc finger protein 142	28368401
hsa_circRNA_102922	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	SGPP2	sphingosine-1-phosphate phosphatase 2	28710406
hsa_circRNA_102924	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SERPINE2	serpin family E member 2	28368401
hsa_circRNA_102926	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CUL3	cullin 3	28368401
hsa_circRNA_102927	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RHBDD1	rhomboid domain containing 1	28368401
hsa_circRNA_102950	-	Liver cancer [differential expression (liver cancer cases vs. normal controls)]	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	28727484
hsa_circRNA_102972	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	-	-	28520103
hsa_circRNA_102990	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SLC23A2	solute carrier family 23 member 2	28368401
hsa_circRNA_103023	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CBFA2T2	CBFA2/RUNX1 translocation partner 2	28368401
hsa_circRNA_103039	chr20:33954359-33962059	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103053	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_103081	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TMEM189	transmembrane protein 189	28368401
hsa_circRNA_103089	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ATP9A	ATPase phospholipid transporting 9A (putative)	28368401
hsa_circRNA_103116	chr21:30693541-30702014	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103117	-	Hepatic steatosis [differential expression (normal vs. model groups)]	-	-	28717649
hsa_circRNA_103122	chr21:34953607-34958487	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]	DONSON	downstream neighbor of SON	27465405;28206972
hsa_circRNA_103126	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PIGP	phosphatidylinositol glycan anchor biosynthesis class P	28368401
hsa_circRNA_103140	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PDXK	pyridoxal kinase	28368401
hsa_circRNA_103159	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	HIRA	histone cell cycle regulator	28368401
hsa_circRNA_103165	chr22:21161649-21167794	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	PI4KA	phosphatidylinositol 4-kinase alpha	27465405
hsa_circRNA_103168	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PPIL2	peptidylprolyl isomerase like 2	28368401
hsa_circRNA_103194	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	AP1B1	adaptor related protein complex 1 beta 1 subunit	28368401
hsa_circRNA_103198	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103229	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ADSL	adenylosuccinate lyase	28368401
hsa_circRNA_103242	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CCDC134	coiled-coil domain containing 134	28368401
hsa_circRNA_103249	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	FBLN1	fibulin 1	28368401
hsa_circRNA_103262	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TBC1D22A	TBC1 domain family member 22A	28368401
hsa_circRNA_103268	-	Diabetic retinopathy [differential expression (type 2 diabetes mellitus with proliferative diabetic retinopathy sample vs. either the type 2 diabetes mellitus without diabetic retinopathy or control samples)]	SBF1	SET binding factor 1	28817829
hsa_circRNA_103269	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103271	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RABL2B	RAB, member of RAS oncogene family like 2B	28368401
hsa_circRNA_103290	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	VGLL4	vestigial like family member 4	28368401
hsa_circRNA_103307	chr3:18456602-18462483	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103345	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103361	chr3:47719687-47727660	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	27465405
hsa_circRNA_103384	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159;28624198
hsa_circRNA_103387	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103393	chr3:56626997-56628056	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	CCDC66	coiled-coil domain containing 66	27465405
hsa_circRNA_103394	chr3:57276883-57301820	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	27465405
hsa_circRNA_103401	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103410	-	Diabetic retinopathy [differential expression (type 2 diabetes mellitus with proliferative diabetic retinopathy sample vs. either the type 2 diabetes mellitus without diabetic retinopathy or control samples)]	LRIG1	leucine rich repeats and immunoglobulin like domains 1	28817829
hsa_circRNA_103428	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NECTIN3	nectin cell adhesion molecule 3	28368401
hsa_circRNA_103444	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GSK3B	glycogen synthase kinase 3 beta	28368401
hsa_circRNA_103456	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ALDH1L1	aldehyde dehydrogenase 1 family member L1	28368401
hsa_circRNA_103457	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TPRA1	transmembrane protein adipocyte associated 1	28368401
hsa_circRNA_103474	chr3:130851588-130852800	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103475	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RYK	receptor-like tyrosine kinase	28368401
hsa_circRNA_103487	chr3:149563797-149570383	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103489	chr3:149563797-149613347	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103490	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103491	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103492	chr3:149563797-149639014	Colorectal cancer [differential expression (colorectal cancer vs. normal colon mucosa)]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	RNF13	ring finger protein 13	25624062;27606420;27986464
hsa_circRNA_103493	chr3:149613259-149639014	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103498	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GMPS	guanine monophosphate synthase	28368401
hsa_circRNA_103500	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GOLIM4	golgi integral membrane protein 4	28368401
hsa_circRNA_103501	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GOLIM4	golgi integral membrane protein 4	28368401
hsa_circRNA_103510	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PRKCI	protein kinase C iota	28368401
hsa_circRNA_103519	chr3:179045348-179046139	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_103522	chr3:180685838-180688146	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	FXR1	FMR1 autosomal homolog 1	27465405
hsa_circRNA_103523	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ATP11B	ATPase phospholipid transporting 11B (putative)	28368401
hsa_circRNA_103542	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	EIF4A2	eukaryotic translation initiation factor 4A2	28368401
hsa_circRNA_103546	chr3:188202379-188242575	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	LPP	LIM domain containing preferred translocation partner in lipoma	27465405
hsa_circRNA_103555	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	TFRC	transferrin receptor	28368401
hsa_circRNA_103559	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_103561	-	Hepatic steatosis [differential expression (normal vs. model groups)]	-	-	28717649
hsa_circRNA_103574	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LRCH3	leucine rich repeats and calponin homology domain containing 3	28368401
hsa_circRNA_103579	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103594	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_103595	-	hsa_circRNA_103595 (circMAN2B2) facilitates lung cancer cell proliferation and invasion via miR-1275/FOXK1 axis.	MAN2B2	mannosidase alpha class 2B member 2	29550475
hsa_circRNA_103608	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	QDPR	quinoid dihydropteridine reductase	28368401
hsa_circRNA_103634	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103636	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159;28624198
hsa_circRNA_103637	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159;28624198
hsa_circRNA_103639	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]; liver cancer [differential expression (liver cancer cases vs. normal controls)]	DCUN1D4	defective in cullin neddylation 1 domain containing 4	28624198;28727484
hsa_circRNA_103647	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	FIP1L1	factor interacting with PAPOLA and CPSF1	28368401;28624198
hsa_circRNA_103655	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103674	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	FRAS1	Fraser extracellular matrix complex subunit 1	28368401;28520103
hsa_circRNA_103675	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103686	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103695	chr4:88116475-88116842	Colorectal cancer [differential expression (colorectal cancer vs. normal colon mucosa)]; esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	KLHL8	kelch like family member 8	25624062;27465405
hsa_circRNA_103714	-	Diabetic retinopathy [differential expression (type 2 diabetes mellitus with proliferative diabetic retinopathy sample vs. either the type 2 diabetes mellitus without diabetic retinopathy or control samples)]	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	28817829
hsa_circRNA_103721	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SEC24B	SEC24 homolog B, COPII coat complex component	28368401
hsa_circRNA_103735	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103750	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103752	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LRBA	LPS responsive beige-like anchor protein	28368401
hsa_circRNA_103757	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LRBA	LPS responsive beige-like anchor protein	28368401
hsa_circRNA_103783	chr5:6623326-6625782	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]; leukoaraiosis [differential expression (leukoaraiosis cases vs. control cases)]	NSUN2	NOP2/Sun RNA methyltransferase family member 2	27465405;28206972;28677780
hsa_circRNA_103809	-	hsa_circRNA_103809 promotes lung cancer progression via facilitating ZNF121-dependent MYC expression by sequestering miR-4302; colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues), differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]; liver cancer [differential expression (liver cancer cases vs. normal controls)]	ZFR	zinc finger RNA binding protein	28349836;28727484;29698681
hsa_circRNA_103812	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NUP155	nucleoporin 155	28368401
hsa_circRNA_103815	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NUP155	nucleoporin 155	28368401
hsa_circRNA_103826	chr5:43161350-43162033	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	ZNF131	zinc finger protein 131	27465405
hsa_circRNA_103827	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatic steatosis [differential expression (normal vs. model groups)]; lung squamous cell carcinoma [differential expression (lung squamous cell carcinoma vs. matched adjacent normal tissues)]	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	28368401;28717649;29636867
hsa_circRNA_103829	-	Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)]; hepatic steatosis [differential expression (normal vs. model groups)]	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	28349836;28717649
hsa_circRNA_103838	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_103846	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	DEPDC1B	DEP domain containing 1B	28368401
hsa_circRNA_103847	-	Liver cancer [differential expression (liver cancer cases vs. normal controls)]	IPO11	importin 11	28727484
hsa_circRNA_103863	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	CCNB1	cyclin B1	28368401
