circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
hsa_circ_0001017	chr2:61749745-61761038	+	XPO1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001017	Gastric cancer	Downregulated	"qPCR, RT-ddPCR etc."	Human	Patients with low plasma hsa_circ_0001017 or hsa_circ_0061276 had a much shorter overall survival than those with high levels. Patients whose plasma hsa_circ_0001017 or hsa_circ_0061276 levels recovered to normal after operation had a longer disease-free survival. 	2018/1/1	29098316	
hsa_circ_0061276	chr21:16415815-16415895	-	NRIP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0061276	Gastric cancer	Downregulated	"qPCR, RT-ddPCR etc."	Human	Patients with low plasma hsa_circ_0001017 or hsa_circ_0061276 had a much shorter overall survival than those with high levels. Patients whose plasma hsa_circ_0001017 or hsa_circ_0061276 levels recovered to normal after operation had a longer disease-free survival. 	2018/1/1	29098316	
hsa_circ_0007534	chr17:61869771-61877977	+	DDX42	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007534	Colorectal cancer	Upregulated	"qRT-PCR, Western blot, CCK-8 proliferation assay etc."	Human	"hsa_circ_0007534 expression was correlated with tumor stage and lymph node metastasis. Furthermore, the silence of hsa_circ_0007534 by siRNA significantly inhibited proliferation and induced apoptosis of CRC cells."	2018/1/1	29364478	
rno_circRNA_006508	chr17	-	LOC681740	N/A	Traumatic brain injury	Upregulated	qPCR etc.	Rat	The circRNAs rno_circRNA_006508 and rno_circRNA_010705 were observed to be upregulated	2018/1/1	29357736	
rno_circRNA_010705	chr3	-	Lrp1b	N/A	Traumatic brain injury	Upregulated	qPCR etc.	Rat	May interacted with miRNAs	2018/1/1	29357736	
rno_circRNA_001167	chr1	-	Cpeb3	N/A	Traumatic brain injury	Downregulated	qPCR etc.	Rat	May interacted with miRNAs	2018/1/1	29357736	
rno_circRNA_001168	chr17	-	LOC681740	N/A	Traumatic brain injury	Downregulated	qPCR etc.	Rat	rno_circRNA_001167 and rno_circRNA_001168 were observed to be downregulated significantly after TBI.	2018/1/1	29357736	
circHECTD1/mmu_circ_0000375/mm9_circ_002888	chr12:52860205-52862157	-	Hectd1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=mmu_circ_0000375	Silicosis	Downregulated	"qPCR, Western blot, Immunoprecipitation, MTT assay, Immunofluorescence staining etc."	Mouse	1) SiO2 concomitantly decreased circHECTD1 levels and increased HECTD1 protein expression; 2) circHECTD1 and HECTD1 were involved in SiO2-induced macrophage activation via ubiquitination; and 3) SiO2-activated macrophages promoted fibroblast proliferation and migration via the circHECTD1/HECTD1 pathway. Tissue samples from silicosis patients confirmed the upregulation of HECTD1.	2018/1/1	29290828	
hsa_circ_0000567	chr14:99924615-99932150	-	SETD3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000567	Colorectal cancer	Downregulated	"qPCR, MTT proliferation assay etc."	Human	"The decreased hsa_circ_0000567 expression in CRC was negatively correlated with tumor size (P = .011), lymph metastasis (P = .003), distal metastasis (P < .0001), and tumor-node-metastasis (TNM) stage (P = .003) in CRC. Moreover, knockdown of hsa_circ_0000567 promoted CRC cells proliferation and migration in vitro."	2018/1/1	29333615	
hsa_circ_0001564	chr5:179132679-179137066	+	CANX	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001564	Osteosarcoma	Upregulated	"qPCR, Colony formation assay, Cell apoptosis assay etc."	Human	"hsa_circ_001564 knockdown significantly suppressed the proliferation activity, induced cell cycle arrest in G0/G1 phase, and promoted apoptosis in HOS and MG-63 cells.  hsa_circ_0001564 acts as miR-29c-3p sponge to mediate the tumorigenicity."	2018/1/1	29229385	
circSMARCA5/hsa_circ_0001445	chr4:144464661-144465125	+	SMARCA5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001445	Hepatocellular carcinoma	Downregulated	"qPCR, Luciferase reporter assay, FISH etc."	Human	"Results reveal an important role of cSMARCA5 in the growth and metastasis of HCC and provide a fresh perspective on circRNAs in HCC progression. (223 words) LAY SUMMARY: cSMARCA5, a circular RNA, inhibits the growth and metastasis of HCC and appears to be a potential therapeutic target for HCC."	2018/1/1	29378234	
circ-ZFR	N/A		ZFR	N/A	Gastric cancer	Downregulated	"qPCR, Western blot, Flow cytometry, Dual-luciferase reporter assay, RNA immunoprecipitation assay, Xenograft mice model etc."	Human	"Circ-ZFR restrained GC cell proliferation, induced cell cycle arrest and promoted apoptosis by sponging miR-130a/miR-107 and regulating PTEN."	2018/1/1	29361817	
CDR1as/ciRS-7/hsa_circ_0001946	chrX:139865339-139866824	+	CDR1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001946	Gastric cancer	Upregulated	"qPCR, Western blot, Colony formation assay, Xenograft in mice etc."	Human	"The expression of ciRS-7 was significantly upregulated in GC tissues compared with the matched para-carcinoma tissues (P?=?0.0023), and the upregulation of ciRS-7 was linked to poor survival in the testing (P?=?0.0143) and validation cohort (P?=?0.0061). Multivariate survival analysis revealed that ciRS-7 was probably an independent risk factor of overall survival (P?<?0.05). Furthermore, overexpression of ciRS-7 blocked the miR-7-induced tumor suppression in MGC-803 and HGC-27 cells and led to a more aggressive oncogenic phenotype, via antagonizing miR-7-mediated PTEN/PI3K/AKT pathway."	2018/1/1	28608528	
circVMA21/hsa_circ_0091702	chrX:150573387-150577836	+	VMA21	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0091702	Intervertebral disc degeneration	Downregulated	"qPCR, FISH, Luciferase reporter assay, Pull-down assay, Rat model of IVDD etc."	Human	CircVMA21 could alleviate inflammatory cytokines-induced NP cell apoptosis and imbalance between anabolism and catabolism of extracellular matrix through miR-200c-XIAP pathway. It provides a potentially effective therapeutic strategy for IVDD.	2018/1/1	29343508	
Cir-ITCH/hsa_circ_0001141/hsa_circ_001763	chr20:33001547-33037285	+	ITCH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001141	Bladder cancer	Downregulated	"qPCR, Western blot, Northern blot, FISH,  Luciferase reporter assay, Xenografts in mice, Immunohistochemistry etc."	Human	"Enforced- expression of circ-ITCH inhibited cells proliferation, migration, invasion and metastasis both in vitro and in vivo. Mechanistically, we demonstrated that circ-ITCH up-regulates the expression of miR-17 and miR-224 target gene p21 and PTEN through 'sponging' miR-17 and miR-224, which suppressed the aggressive biological behaviors of BCa."	2018/1/1	29386015	
circRNA_0046366	 chr17:80048757-80048945	-	FASN	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0046366	Hepatic steatosis	Downregulated	"qPCR, Luciferase reporter assay, Western blot etc."	Human	Dysregulation of circRNA_0046366/miR-34a/PPAR汐 signaling may be a novel epigenetic mechanism underlying hepatocellular steatosis. circRNA_0046366 serves as a potential target for the treatment of hepatic steatosis.	2018/1/1	29391755	
hsa_circ_0000681	chr16:23999828-24046868	+	PRKCB	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000681	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Chemokine signaling pathway; Fc gamma R-mediated phagocytosis	2018/1/1	29248507	
hsa_circ_0008797	chr3:119582265-119624699	-	GSK3B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008797	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Chemokine signaling pathway; Neurotrophin signaling pathway	2018/1/1	29248507	
hsa_circ_0002113	chr21:34793786-34805178	+	IFNGR2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002113	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Cytokine-cytokine receptor interaction	2018/1/1	29248507	
hsa_circ_0002362	chr2:9458652-9468040	+	ASAP2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002362	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Fc gamma R-mediated phagocytosis	2018/1/1	29248507	
hsa_circ_0000414	chr12:66597490-66605377	+	IRAK3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000414	Pulmonary tuberculosis	Downregulated	qPCR etc.	Human	Associated KEGG pathway: Neurotrophin signaling pathway	2018/1/1	29248507	
hsa_circ_0063179	chr22:37328806-37330036	+	CSF2RB	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0063179	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Cytokine-cytokine receptor interaction	2018/1/1	29248507	
hsa_circ_0002908	chr8:141840570-141874498	-	PTK2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002908	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	Associated KEGG pathway: Chemokine signaling pathway; Bacterial invasion of epithelial cells	2018/1/1	29248507	
circUBAP2	N/A	N/A	UBAP2	N/A	Lung cancer	Upregulated	"qPCR, Western blot, Luciferase report gene assay, CCK-8 assay, Fow cytometry, Transwell invasion assay etc."	Human	"Results of cell cycle detected by flow cytometry showed that cell cycle arrestd at G0/G1 after circUBAP2 silencing, cell apoptosis rate increased also.the activities of JNK and ERK1/2 were inhibited because of circUBAP2 silencing, the target genes were miR-339-5p, miR-96-3p and miR-135b-3p"	2017/12/1	29277177	
hsa_circRNA_404833	N/A	N/A	N/A	N/A	Lung adenocarcinoma	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29241190	
hsa_circRNA_006411	N/A	N/A	N/A	N/A	Lung adenocarcinoma	Downregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29241190	
hsa_circRNA_401977	N/A	N/A	N/A	N/A	Lung adenocarcinoma	Downregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29241190	
circWDR77/hsa_circ_0013509	chr1:111984646-111986543	-	WDR77	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0013509	Cardiovascular disease	Upregulated	"qPCR, MTT assay, Western blot, Dual-luciferase reporter assay, RIP, Transwell migration assays, Wound-healing assay etc."	Human	circRNAs expression profiles in high glucose induced VSMCs and identifies the role of circWDR77-miR-124-FGF2 regulatory pathway in VSMCs proliferation and migration	2017/12/1	29042195	
circRNA_100782	chr11:33307958每33309057	N/A	N/A	N/A	Pancreatic ductal adenocarcinoma	Upregulated	"qPCR, Western blot, Luciferase reporter assay etc."	Mouse	circRNA_100782 knockdown suppressed BxPC3 xenografts in nude mice.  circRNA_100782 regulates BxPC3 cell proliferation by acting as miR-124 sponge through the IL6每STAT3 pathway.	2017/12/1	29255366	
circRNA_100782	chr11:33307958每33309057	N/A	N/A	N/A	Pancreatic ductal adenocarcinoma	Upregulated	"qPCR, Western blot, Luciferase reporter assay etc."	Human	CircRNA_100782 was found upregulated in PDAC and in the PDAC cell line BxPC3 instead of human pancreatic duct epithelial cells (HPDE).circRNA_100782 downregulation inhibited BxPC3 cell proliferation and colony formation.	2017/12/1	29255366	
hsa_circ_0000064	chr1:44446997-44447136	-	B4GALT2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000064	Lung cancer	Upregulated	"qPCR, FISH, MTT assay, Western blot etc."	Human	"hsa_circ_0000064 was up-regulated in lung cancer tissues and lung cancer cell lines (A549 and H1229).  its aberrant expression was correlated with several clinical characteristics, including T stage, lymphatic metastasis, and TNM stage."	2017/12/1	29223555	
hsa_circ_0005105	chr5:134022479-134023989	+	SEC24A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005105	Osteoarthritis	Upregulated	"qRT-PCR, Dual luciferase assay, Western blot, Enzyme-linked immunosorbent assay (ELISA) etc."	Human	"hsa_circ_0005105 can inhibit the expression of type II collagen and aggrecan, promote the expression of MMP-13 and ADAMTS-4, and the generation of PGE2, IL-6, and IL-8, but the linear sequence of hsa_circ_0005105 cannot. MiR-26a has the opposite effect, and hsa_circ_0005105 can antagonize the function of miR-26a. When NAMPT expression was downregulated, the above function of hsa_circ_0005105 was significantly weakened."	2017/12/1	28276108	
hsa_circ_0075001/circNPM1	chr5:170817054-170827214	+	NPM1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0075001	Acute myeloid leukemia	Upregulated	qPCR etc.	Human	"Hsa_circ_0075001 expression correlates positively with total NPM1 expression, but is independent of the NPM1 mutational status. High versus low hsa_circ_0075001 expression defines patient subgroups characterized by distinct gene expression patterns, such as lower expression of components of the Toll-like receptor signaling pathway in high hsa_circ_0075001 expression cases."	2017/12/1	28971903	
circRNA BCRC4/hsa_circ_001598/hsa_circ_0001577	chr6:13632601-13644961	-	RANBP9	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001577	Bladder cancer	Downregulated	qPCR etc.	Human	"BCRC4 functions as a tumor suppressor in BC, and mediates anticancer function, at least in part, by up-regulating the expression of miR-101."	2017/12/1	29270748	
hsa_circ_0005015	chr8:122640953-122641580	-	HAS2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005015	Diabetes retinopathy	Upregulated	qPCR etc.	Human	"Circ_0005015 was verified to be upregulated in the plasma, vitreous sample, and fibrovascular membranes of DR patients. Circ_0005015 facilitated retinal endothelial angiogenic function via regulating endothelial cell proliferation, migration, and tube formation. Circ_0005015 acted as miR-519d-3p sponge to inhibit miR-519d-3p activity, leading to increased MMP-2, XIAP, and STAT3 expression."	2017/12/1	29288268	
hsa_circ_0000615	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Diabetes retinopathy	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0019069	chr10:91195816-91222381	-	SLC16A12	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0019069	Diabetes retinopathy	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0066922	chr3:120365113-120366758	-	HGD	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0066922	Diabetes retinopathy	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0081108	chr7:94035561-94055363	+	COL1A2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0081108	Diabetes retinopathy	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0081162	chr7:94053647-94057789	+	COL1A2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0081162	Diabetes retinopathy	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0087206	chr9:75520873-75524675	-	ALDH1A1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0087206	Diabetes retinopathy	Upregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0087215	chr9:75781012-75781108	+	ANXA1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0087215	Diabetes retinopathy	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0041796	chr17:7157901-7158228	+	C17orf81	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0041796	Diabetes retinopathy	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0072410	chr5:43624133-43677908	+	NNT	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0072410	Diabetes retinopathy	Downregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0026388	chr12:52817853-52827036	-	KRT75	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0026388	Diabetes retinopathy	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0057093	chr2:173426947-173427528	+	PDK1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0057093	Diabetes retinopathy	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0030055	chr13:41797391-41837620	-	MTRF1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0030055	Diabetes retinopathy	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0026372	chr12:52679696-52680606	-	KRT81	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0026372	Diabetes retinopathy	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	29288268	
hsa_circ_0068489	chr3:186951869-187003844	-	MASP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0068489	Diabetes retinopathy	Downregulated	qPCR etc.	Human	May as miRNA sponges	2017/12/1	29288268	
hsa_circ_0008305	chr8:141799572-141840625	-	PTK2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008305	Intervertebral disc degeneration	Upregulated	qPCR etc.	Human	hsa_circ_0008305 upregulation and hsa_circ_0041946 downregulation were validated in IDD using reverse transcription?quantitative polymerase chain reaction.	2017/12/1	28990083	
hsa_circ_0041946	chr17:7573926-7577608	-	TP53	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0041946	Intervertebral disc degeneration	Downregulated	qPCR etc.	Human	hsa_circ_0008305 upregulation and hsa_circ_0041946 downregulation were validated in IDD using reverse transcription?quantitative polymerase chain reaction.	2017/12/1	28990083	
hsa_circRNA_104194/hsa_circ_0004712	chr6:136468488-136476896	+	PDE7B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004712	Rheumatoid arthritis	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	28983619	
hsa_circRNA_104593/hsa_circ_0083964	chr8:37985808-37986469	+	ASH2L	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0083964	Rheumatoid arthritis	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	28983619	
hsa_circRNA_103334/hsa_circ_0064996	chr3:43341245-43373802	+	SNRK	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0064996	Rheumatoid arthritis	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	28983619	
hsa_circRNA_101407/hsa_circ_0032683	chr14:75590748-75590926	-	NEK9	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0032683	Rheumatoid arthritis	Upregulated	qPCR etc.	Human	Unclear	2017/12/1	28983619	
hsa_circRNA_102594/hsa_circ_0052012	chr19:50902107-50902741	+	POLD1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0052012	Rheumatoid arthritis	Downregulated	qPCR etc.	Human	Unclear	2017/12/1	28983619	
circ-LDLRAD3/hsa_circ_0006988	chr11:36248634-36248980	+	LDLRAD3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006988	Pancreatic cancer	Upregulated	qPCR etc.	Human	"High expression of circ-LDLRAD3 was significantly associated with venous invasion, lymphatic invasion, and metastasis."	2017/12/1	29307994	
hsa_circ_0043256	chr9:27168492-27173360	+	N/A	N/A	Non-small cell lung cancer	Upregulated	"qPCR, Western blot, CCK-8 assay, RIP, Xenograft nude mouse model etc."	Human	"Hsa_circ_0043256 could inhibit cell proliferation and induce apoptosis, while hsa_circ_0043256 knock-down could promote cell proliferation and restrain apoptosis induced by CA. Bioinformatics analysis predicted that hsa_circ_0043256 could work as a miR-1252 sponge, which could in turn directly target a vital negative regulator of Canonical Wnt signaling, Itchy E3 ubiquitin protein ligase (ITCH), as validated by dual-luciferase assay. Western blot results further confirmed that hsa_circ_0043256 could upregulate ITCH expression, whereas miR-1252 could partially abolish this effect. Interestingly, hsa_circ_0043256 knock-down could weaken Wnt/汕-catenin pathway inhibition induced by CA. Finally, we discovered that CA induced apoptosis and meanwhile upregulated hsa_circ_0043256 expression in vivo. Immunohistochemical analysis revealed that ITCH expression was positively association with hsa_circ_0043256 levels."	2017/11/1	28958934	
hsa_circ_0021001	chr11:6499967-6501693	-	ARFIP2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0021001	Intracranial aneurysms	Downregulated	qPCR etc.	Human	"Hsa_circ_0021001 level in the peripheral blood of IA patients was relatively lower than that in the control group (P=0.002). The area under ROC (AUC) was 0.87, indicating that hsa_circ_0021001 was highly effective in the diagnosis of IA. In addition, hsa_circ_0021001 expression was correlated with aneurysm rupture, Hunt, Hess level, and timing of surgery (P= 0.041, 0.013, and 0.001, respectively). Patients with high expression of hsa_circ_0021001 had longer disease-free survival (DFS) and overall survival (OS) (P < 0.05). "	2017/11/1	29291016	
hsa-circRNA11783-2	chr18:28650691每28672263	N/A	ENST00000251081	N/A	Coronary artery disease	Downregulated	qPCR etc.	Human	hsa-circRNA11783-2 had a stronger correlation with CAD and T2DM	2017/11/1	28777011	
hsa-circRNA11783-2	chr18:28650691每28672263	N/A	ENST00000251081	N/A	Type 2 diabetes mellitus	Downregulated	qPCR etc.	Human	hsa-circRNA11783-2 had a stronger correlation with CAD and T2DM	2017/11/1	28777011	
hsa-circRNA11806-28	N/A	N/A	N/A	N/A	Coronary artery disease	Downregulated	qPCR etc.	Human	"The levels of hsa-circRNA11806-28, hsa-circRNA6510-1 and hsa-circRNA11783-2 were significantly lower in both the T2DM group and CAD group compared with the control group"	2017/11/1	28777011	
hsa-circRNA11806-28	N/A	N/A	N/A	N/A	Type 2 diabetes mellitus	Downregulated	qPCR etc.	Human	"The levels of hsa-circRNA11806-28, hsa-circRNA6510-1 and hsa-circRNA11783-2 were significantly lower in both the T2DM group and CAD group compared with the control group"	2017/11/1	28777011	
hsa-circRNA6510-1	N/A	N/A	N/A	N/A	Coronary artery disease	Downregulated	qPCR etc.	Human	"The levels of hsa-circRNA11806-28, hsa-circRNA6510-1 and hsa-circRNA11783-2 were significantly lower in both the T2DM group and CAD group compared with the control group"	2017/11/1	28777011	
hsa-circRNA6510-1	N/A	N/A	N/A	N/A	Type 2 diabetes mellitus	Downregulated	qPCR etc.	Human	"The levels of hsa-circRNA11806-28, hsa-circRNA6510-1 and hsa-circRNA11783-2 were significantly lower in both the T2DM group and CAD group compared with the control group"	2017/11/1	28777011	
hsa_circ_0003575	chr9:33271149-33278223	+	CHMP5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0003575	Atherosclerosis	Upregulated	qPCR etc.	Human	"circRNA microarray analysis reveals the expression profiles of HUVECs and verifies the role of hsa_circ_0003575 on HUVECs, providing a therapeutic strategy for vascular endothelial cell injury of atherosclerosis."	2017/11/1	28946214	
circSMARCA5/hsa_circ_0001445	chr4:144464661-144465125	+	SMARCA5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001445	Prostate cancer	Upregulated	qPCR etc.	Human	Circ-SMARCA5 silencing suppressed cell proliferation but promoted cell apoptosis in PCa cell lines	2017/11/1	28765045	
circRNA-chr19	chr19: 30547942-30549514	N/A	ZNF536	N/A	Ebola virus disease	Upregulated	qPCR etc.	Human	circRNA-chr19 targeting miR-30b-3p regulated CLDN18 expression by functioning as a ceRNA. 	2017/11/1	29209594	
circRNA_14623	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
circRNA_09585	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
circRNA_05538	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Downregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
circRNA_09993	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Downregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
circRNA_13478	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Downregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
circRNA_00074	N/A	N/A	N/A	N/A	Pulmonary tuberculosis	Upregulated	qPCR etc.	Human	"hsa_ circRNA_14623, hsa_circ_09585, hsa_circ_005538, hsa_circ_09993, hsa_circ_00074 and hsa_circ_13478 were confirmed as significantly dysregulated in PTB."	2017/11/1	29371930	
CircARSP91/hsa_circ_0085154	chr8:101721360-101721451	-	PABPC1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0085154	Hepatocellular carcinoma	Downregulated	"qPCR, Western blot, Luciferase assays, ChIP assay, MTT assay, Colony formation assay, Invasion assay etc."	Human	"CircARSP91 (hsa_circ_0085154), one of the circRNAs downregulated by AR in an ADAR1-dependent manner, could inhibit HCC tumor growth both in vitro and in vivo"	2017/11/1	29144509	
hsa_circRNA_070616/hsa_circ_0070616	chr4:108608194-108622441	-	PAPSS1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0070616	Repeated implantation failure	Upregulated	qPCR etc.	Human	hsa_circRNA_070616 may function as sponge of hsa-miR-574-5p	2017/11/1	29132137	
hsa_circRNA_103716/hsa_circ_0006935	chr4:108603170-108622441	-	PAPSS1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006935	Repeated implantation failure	Upregulated	qPCR etc.	Human	hsa_ circRNA_103716 may function as sponge of hsa-miR-574-5p	2017/11/1	29132137	
hsa_circRNA_104001	N/A	N/A	N/A	N/A	Repeated implantation failure	Upregulated	qPCR etc.	Human	"The up-regulated expression of hsa_circRNA_070616, hsa_circRNA_103716, hsa_circRNA_104001, hsa_circRNA_104854 and the down-regulated expression of hsa_circRNA_004183, hsa_circRNA_044353, hsa_circRNA_404686 were further validated by qRT-PCR. "	2017/11/1	29132137	
hsa_circRNA_104854	N/A	N/A	N/A	N/A	Repeated implantation failure	Upregulated	qPCR etc.	Human	"The up-regulated expression of hsa_circRNA_070616, hsa_circRNA_103716, hsa_circRNA_104001, hsa_circRNA_104854 and the down-regulated expression of hsa_circRNA_004183, hsa_circRNA_044353, hsa_circRNA_404686 were further validated by qRT-PCR. "	2017/11/1	29132137	
hsa_circRNA_004183	N/A	N/A	N/A	N/A	Repeated implantation failure	Downregulated	qPCR etc.	Human	"The up-regulated expression of hsa_circRNA_070616, hsa_circRNA_103716, hsa_circRNA_104001, hsa_circRNA_104854 and the down-regulated expression of hsa_circRNA_004183, hsa_circRNA_044353, hsa_circRNA_404686 were further validated by qRT-PCR. "	2017/11/1	29132137	
hsa_circRNA_044353	N/A	N/A	N/A	N/A	Repeated implantation failure	Downregulated	qPCR etc.	Human	"The up-regulated expression of hsa_circRNA_070616, hsa_circRNA_103716, hsa_circRNA_104001, hsa_circRNA_104854 and the down-regulated expression of hsa_circRNA_004183, hsa_circRNA_044353, hsa_circRNA_404686 were further validated by qRT-PCR. "	2017/11/1	29132137	
